id,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review
29651529,223180509,Manhattan,East Village,Entire home/apt,125.0,30,323,2024-06-10
23060192,19930911,Brooklyn,Crown Heights,Entire home/apt,99.0,30,414,2024-04-14
701389905710753121,185979641,Manhattan,Upper East Side,Entire home/apt,192.0,30,0,
764578441677175829,480762641,Manhattan,Harlem,Private room,112.0,4,57,2024-09-02
15360787,98053423,Manhattan,Harlem,Private room,139.0,30,70,2022-09-07
1043748549960976228,547422647,Manhattan,Upper West Side,Private room,919.0,1,0,
51330421,61391963,Manhattan,Upper East Side,Entire home/apt,133.0,30,7,2023-02-28
1070531707221095417,14902860,Brooklyn,Bedford-Stuyvesant,Entire home/apt,181.0,5,10,2024-08-31
674043655320352871,447895924,Brooklyn,Crown Heights,Private room,120.0,30,11,2023-09-05
990723645034323101,391579286,Brooklyn,Crown Heights,Entire home/apt,441.0,2,27,2024-08-19
1101129819687240230,91445933,Manhattan,Hell's Kitchen,Private room,230.0,1,11,2024-07-25
51735848,17784793,Brooklyn,Bedford-Stuyvesant,Private room,90.0,30,10,2023-08-28
746385312890588448,36793116,Manhattan,Midtown,Entire home/apt,367.0,30,2,2023-04-12
416557,2714164,Brooklyn,Greenpoint,Entire home/apt,145.0,30,46,2022-11-27
23476922,23193,Brooklyn,Bedford-Stuyvesant,Private room,42.0,30,7,2019-08-05
1067201362028677654,107434423,Brooklyn,Boerum Hill,Entire home/apt,386.0,31,0,
15928635,278393,Brooklyn,Bushwick,Private room,29.0,30,136,2024-08-31
1101470215361697223,564475357,Manhattan,Midtown,Entire home/apt,499.0,1,45,2024-08-26
909492443054363122,30279979,Brooklyn,Bushwick,Private room,195.0,3,17,2024-07-21
871616037441638148,113723310,Manhattan,Greenwich Village,Entire home/apt,200.0,30,0,
974119318572120161,429701112,Manhattan,West Village,Entire home/apt,566.0,5,8,2024-07-30
11758313,51501835,Manhattan,Little Italy,Entire home/apt,120.0,30,13,2022-04-27
40537723,291033670,Brooklyn,Bedford-Stuyvesant,Private room,84.0,30,3,2023-09-23
38428035,291033670,Brooklyn,Bedford-Stuyvesant,Private room,62.0,30,5,2022-10-31
